X1 (lambda);X2 (m1);X3 (m2);X4 (E);Y (lost signal);t1;t2;t3
1;1;4;2;20;0,3489062599097334;9,698681435627831;37,83760371976056
1;1;2;1;23;6,139132169768441;9,70429581387924;32,439631982910335
2;1;4;1;24;0,2050701900144647;9,335669025332354;29,222392540428903
1;2;2;2;19;2,373263378456763;10,644532067985903;31,06508454649911
2;2;4;1;21;0,4459407220997691;10,98390367090646;29,41567264577434
1;1;2;2;17;1,534824368692762;10,305133882360074;33,14877574827033
2;2;2;1;22;0,1067784710010293;6,7133623309202015;33,862802866015535
1;2;4;2;15;1,1670928345952316;10,274140752635986;32,03318267180132
1;1;3;1;20;2,07731574142137;10,410474797653096;28,71935991189651
2;2;3;2;15;0,2505133736654636;7,798692726924447;29,76005450216246
1;1;4;2;17;0,21446137662225911;9,917417362495659;37,38998607835554
2;1;3;2;18;0,42381775881474915;10,674709060452436;27,535213074318243
2;2;2;2;18;2,028167976623379;11,381066174333181;35,38026868001041
1;1;4;1;24;0,903090229043068;9,316035339030083;29,7738227193718
1;2;2;2;20;1,020931963766612;8,035055587833767;33,978781808749225
1;2;2;1;22;0,7688809854700992;9,56089611433354;32,369573134850064
2;1;3;1;21;1,5856973528717866;9,364118094255991;32,947513726445436
1;1;3;2;20;0,18459156511154;9,939504802630456;29,77477514897071
1;1;3;1;25;0,5416295364581112;10,382942632835078;29,9806985180774
1;2;4;2;16;0,9632817461260795;11,567632730795804;24,171352824800465
2;2;2;1;23;0,1431086484782167;9,881454121653704;31,541488334764832
1;2;4;1;23;1,1319389650365173;5,3303573528353505;28,578011931023376
2;2;4;1;18;0,5590769659108916;7,179344727255742;28,514805835976446
2;1;4;2;18;0,6914015027012216;9,1967060414077;31,889930702150604
1;2;3;2;21;0,12499150562072851;9,562812812141054;29,74077108159247
2;2;4;2;16;0,7756271022733838;12,044240419650466;33,51155743109772
2;2;2;2;19;0,23510844915647966;11,230918672331747;35,37542722781778
2;2;3;2;18;1,4943745131953465;8,575292598142482;35,48457166688747
1;2;2;1;23;2,349939896871416;8,745598496797765;32,273700113818215
1;1;2;2;18;4,3255032938219005;8,22503360763956;32,70687432287227
1;2;4;2;17;0,24467432899361682;10,789474529886737;36,40737278857847
2;2;2;1;23;0,09069720864122234;9,913315497054377;32,6057815657821
1;1;4;2;19;1,2878946816884653;9,262502083758902;23,710273117442448
1;2;4;1;25;0,17225338049994526;10,285017882770948;33,29892074071776
1;1;4;1;25;0,7539917900047419;9,845121700376552;29,466577887486554
1;1;4;1;19;3,0635173990679005;10,014452949305578;28,586085993734336
1;2;2;2;17;1,3211946280243574;8,52066822193569;30,229292927194106
1;1;3;2;17;0,653740066632953;9,96558358904833;28,010185726729063
1;2;3;1;24;0,07725381588665241;8,96258602814732;36,79909949803118
1;1;3;2;16;0,08227494034701804;10,85704572179263;28,417377000727953
2;2;4;2;16;0,9667672254416897;8,558597919983255;33,923755192419186
1;1;4;1;22;0,9382340122585493;9,0720110892521;34,95218191542896
2;2;4;1;22;0,5067068638493698;11,7101588953443;35,067455285422334
2;1;2;1;21;0,09838182898157341;11,110638328903189;33,69167189539212
2;1;4;2;19;0,19528214589348036;10,227415328912056;35,24281453440193
1;1;2;2;20;0,45611959779982514;8,707758658914544;31,572269774050678
2;2;3;2;19;1,0595578356652677;6,326190121612809;30,35657389244607
1;2;3;2;17;0,17457426885416621;12,586553659178207;31,83339120593483
2;1;4;2;15;0,6725026675656941;10,910484610704936;27,032050022252065
2;1;4;2;17;0,44541993664410395;11,08364786558274;32,2568502695669
2;2;3;2;18;0,13594153282653632;9,371933996840532;32,682438153362696
2;1;4;2;19;0,028057507983768;10,009921297830052;28,56966379538538
1;2;2;2;17;0,46941177709931664;12,282093954515402;29,227453201115566
1;2;2;2;19;0,6006074376753615;10,241021404966888;33,152701652433414
2;2;4;2;17;0,8106400144208137;8,936259133330212;29,919553682915996
1;2;3;2;19;0,8650658844131045;13,335125520109408;36,36317856007922
2;2;2;2;17;0,8547016502125384;13,320080846584332;34,1442978776568
1;1;4;1;24;0,0006191020213624865;9,979485562715524;24,120796291034367
2;2;3;1;24;0,7713600083643718;8,507245088851908;31,672605731217974
2;2;4;2;14;0,5551885668197919;11,583918978839085;36,57770475907703
2;1;2;1;23;0,12214560526390864;9,600637188646042;34,6654277026184
2;1;3;1;21;0,23567586807549398;10,936480725618384;37,6672404386637
2;2;2;1;23;0,6727424508326931;8,953546964662925;33,6228558141725
2;1;4;2;17;3,2669350297725965;11,085287864915003;18,403290138486227
2;2;3;1;24;0,4079947954900126;8,463819640436954;37,1305003299456
1;1;4;2;16;0,960828084990838;10,253647701762754;28,469370455174058
2;1;3;2;16;0,3107514206344368;9,927909628839881;35,979675834218035
1;2;4;2;16;1,1100840741027345;11,00961975041183;29,34299140186132
2;1;4;2;16;0,530705863965298;12,521854751367675;24,563879198475917
1;2;3;1;21;0,17692079603688793;8,75335176798177;33,62526871279958
